Year,Population,Months
1961,39554000,0
1971,50412000,120
1981,62784000,240
1991,78937000,360
2001,96752000,480
2011,112373000,600
2012,114170968,612
2013,115969272,624
2014,117766794,636
2015,119564629,648
2016,121362092,660
2017,123174918,672
