SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Konkan & Goa,1966,0,0,0,0.2,64.7,370,1168.8,224.1,443.5,43.9,111.3,1.1,2427.5,0,64.8,2206.4,156.3
Konkan & Goa,1967,0,0,7.7,0.8,7.5,768.9,1109.2,416.9,317.1,109.6,0.7,14,2752.3,0,16,2612,124.2
Konkan & Goa,1968,0,0.3,0.1,6,1.5,556.9,1134.7,318.7,202.1,130.4,8.6,0,2359.4,0.3,7.6,2212.4,139
Konkan & Goa,1969,0,0,0,1.1,2.4,666.5,1282.2,527.1,586,37.9,23.2,0.9,3127.4,0,3.5,3061.8,62.1
Konkan & Goa,1970,0,0,0,1.5,74.5,963.3,993.8,1164.8,312.7,85.8,0,0.2,3596.6,0,76,3434.6,86
Konkan & Goa,1971,0,0,0,0.3,85.1,1011.9,650.8,602,362.6,40.4,0.9,0,2754,0,85.4,2627.2,41.3
Konkan & Goa,1972,0,0.1,0,0.6,10.7,662,731.6,293.9,138.8,8.5,26.8,0,1873,0.1,11.3,1826.2,35.4
Konkan & Goa,1973,0,0.4,0,0,3.1,455.9,922.1,910.6,437.4,103.6,2.9,0.2,2836.3,0.4,3.2,2726.1,106.7
Konkan & Goa,1974,0.7,0,0,6.8,73.9,508.2,1133,774.4,351.1,238.6,0,0,3086.7,0.7,80.7,2766.7,238.6
Konkan & Goa,1975,0,0.1,0,1,13.6,856.9,1027,848,556,192.7,20.2,0,3515.4,0.1,14.6,3287.8,212.9
Konkan & Goa,1976,0,0,1.6,0.4,4.5,635.1,1279.2,690.1,360.7,20.3,71,0,3063,0,6.6,2965.1,91.3
Konkan & Goa,1977,0,0,0.8,1.3,10.3,583,1384.6,580.5,386.9,77,78.8,0.2,3103.3,0,12.3,2935,156
Konkan & Goa,1978,0,0,0,8.3,86.6,946.2,907.2,575.4,243,67.2,48.8,2.8,2885.6,0,95,2671.8,118.8
Konkan & Goa,1979,0,0.7,0.1,0,0.3,653.1,797.2,687.2,266.5,26.8,77.3,0,2509.2,0.7,0.4,2404,104.1
Konkan & Goa,1980,0,0,0,3.5,2.9,877.7,749.9,851.8,166.4,20.7,26.1,25.2,2724.3,0,6.4,2645.8,72.1
Konkan & Goa,1981,0.6,0,0,0.1,4.2,773.9,1073,708.6,480.6,59.1,24.5,0.1,3124.7,0.6,4.3,3036.1,83.7
Konkan & Goa,1982,0,0,0,0,14.5,558.4,987.1,810.8,216.3,42.1,69.6,0,2698.9,0,14.5,2572.6,111.7
Konkan & Goa,1983,0,0,0,0.3,0.4,655.3,1073.2,1331.2,638.8,102.4,9.7,3.2,3814.5,0,0.7,3698.6,115.2
